ITEM,EMISSIONS_FACTOR
"tomato paste, concentrated",1.181
"tomato paste, concentrated, canned",1.457
"tomato paste, double concentrate, canned",0.157
tomato peeled,3.682
"tomato pulp, canned",0.582
tomato puree,0.567
"tomato puree, canned",1.968
tomato purâˆšÂ©e,1.594
tomato sauce for pizza base,1.220
"tomato sauce, w cheese, prepacked",0.504
"tomato sauce, w mushrooms, prepacked",2.759
"tomato sauce, w olives, prepacked",0.985
"tomato sauce, w vegetables, prepacked",1.120
"tomato sauce, with meat or bolognese sauce, prepacked",0.401
"tomato sauce, with onions, prepacked",1.408
tomato soup,1.012
tomato tart,2.542
"tomato, cherry, raw",0.613
"tomato, dried",1.672
"tomato, dried, in oil",0.933
"tomato, green, raw",0.647
"tomato, peeled, canned",2.535
"tomato, peeled, canned, drained",0.946
"tomato, pulp and peel, boiled/cooked in water",0.697
"tomato, raw",0.212
"tomato, roasted/baked, with skin",0.911
"tomatoes (organic), fresh",0.799
"tomatoes, cherry tomatoes",1.255
"tomatoes, fresh",1.650
"tomatoes, fresh, average",1.774
"tomatoes, from germany, seasonal",0.699
"tomatoes, strained, composite carton",0.292
"tomatoes, strained, in can",1.738
"tomatoes, strained, in glass jar",0.896
"tomatojuice, canned",1.359
"tomme cheese, from cow's milk",4.980
"tomme cheese, from mountain or savoy",6.339
"tomme cheese, reduced fat, around 13% fat",4.143
"tongue, beef, cooked",9.586
"tongue, beef, raw",20.641
"tongue, calf, cooked",6.641
"tongue, calf, raw",17.232
"tongue, pork, raw",2.921
"tonic drink, with sugar",0.526
"tonic drink, with sugar and artificial sweetener(s)",2.829
"tonic drink, without sugar, with artificial sweetener(s)",1.411
topping sauce for pizza,2.153
"tortilla bread, wheat",2.289
"tortilla chips, cheese",1.768
"tortilla, wheat",3.631
"toulouse sausage, cooked",10.120
"toulouse sausage, raw",16.121
"tripe, beef, raw",25.137
trout,2.925
trout (f),4.236
"trout, farmed, raw",2.633
"trout, farmed, smoked",2.731
"trout, raw",0.640
"trout, roasted/baked",3.423
"trout, steamed",6.083
true gum mint,2.550
tuna (f),1.306
"tuna loin, seared",3.072
tuna salad,1.371
"tuna, flaked, in oil, canned, drained",1.128
"tuna, flaked, in tomato sauce, canned, drained",10.572
"tuna, in catalan-style or in tomato sauce, canned",4.703
"tuna, in oil, canned, drained",4.801
"tuna, in tomato sauce, canned",9.222
"tuna, in water, canned",0.644
"tuna, plain, canned, drained",1.129
"tuna, raw",2.855
tung nuts,2.397
"turkey cooked ham, in slices",2.556
"turkey egg, raw",1.196
turkey fat,2.158
turkey meat bone free,3.558
turkey meat with bone,1.379
"turkey, breaded escalope",5.623
"turkey, breast, boiled/smoked, sliced",1.052
"turkey, escalope, raw",5.165
"turkey, escalope, roasted/baked",2.869
"turkey, flesh only, raw",2.114
"turkey, leg, meat and skin, raw",3.992
"turkey, leg, meat only, raw",4.106
"turkey, meat and skin, raw",3.828
"turkey, meat, raw",2.035
"turkey, meat, roasted/baked",0.581
"turkey, mince, 5-10% fat, raw",2.332
"turkey, wing, raw",3.163
"turmeric, powder",0.533
turnip,1.567
"turnip cabbage, raw",0.310
"turnip, cooked",1.447
"turnip, frozen, raw",2.952
"turnip, peeled, raw",1.773
"turnip, raw",0.742
twelfth night cake (puff pastry filled with almond paste),3.538
"uncured soft cheese, spreadable, around 20% fat, in a tub",3.271
"uncured soft cheese, spreadable, around 25% fat, in a tub",4.452
"uncured soft cheese, spreadable, around 30-40% fat, flavoured (ex : garlic and herbs)",1.321
"vacherin cheese or mont d'or cheese, from cow's milk",1.814
"valenâˆšÃŸay cheese, from goat's milk",1.871
vanilla,73.445
"vanilla, alcoholic extract",1.622
"vanilla, aqueous extract",1.965
"veal and pork, mince, 15-20% fat, raw",4.445
"veal fillet, raw",7.022
"veal fillet, roasted/baked",16.563
veal olive or veal paupiette,5.444
veal stew in white sauce,7.847
"veal, knuckle or shank, raw",4.534
"veal, loin, raw",13.544
"veal, roast, cooked",23.229
"veal, shoulder, braised/boiled",3.614
"veal, shoulder, grilled/pan-fried",13.794
"veal, shoulder, raw",10.311
"veal, tenderloin, grilled/pan-fried",15.590
"veal, tenderloin, raw",1.211
"veal, tenderloin, roasted",14.573
vegan bacon,1.870
"vegan balls, soy based",0.987
vegan bean paste,1.297
vegan block,1.990
"vegan burger, pea protein",0.489
"vegan burgers, soy based",2.611
vegan cheese,2.315
"vegan cheese, grated or sliced",0.919
vegan chorizo,3.586
vegan fillet pieces,0.889
"vegan ice cream, oats",3.926
vegan mayo,1.840
"vegan minced, pea based",0.436
"vegan nuggets, soy based",1.441
vegan pulled beans,1.124
"vegan sausages, soy based",0.773
"vegan schnitzels, soy based",2.902
vegansk chorizo,1.280
"vegetable dish for baby, w meat/fish and starch, from 18 months",0.719
"vegetable dish for baby, w meat/fish and starch, from 6-8 months",2.246
"vegetable dish for baby, with milk/cream and starch, from 12 months",1.379
"vegetable dish for baby, with milk/cream and starch, from 18 months",2.602
"vegetable dish for baby, with milk/cream and starch, from 6-8 months",0.633
"vegetable dish for baby, with starch, from 6-8 months",0.518
"vegetable fat (like margarine), 80% fat, salted",2.477
"vegetable fat (margarine type), 50-63% fat, light, lightly salted",1.292
"vegetable fat (margarine type), 70% fat, unsalted",3.919
"vegetable fat (margarine type), 80% fat, unsalted",0.793
"vegetable fat (margarine type), spreadable, 30-40% fat, light, lightly salted",0.613
"vegetable fat (margarine type), spreadable, 30-40% fat, light, lightly salted, with plant sterols esters",1.777
"vegetable fat (margarine type), spreadable, 30-40% fat, light, unsalted",3.154
"vegetable fat (margarine type), spreadable, 30-40% fat, light, unsalted, rich in omega 3",1.014
"vegetable fat (margarine type), spreadable, 30-40% fat, light, unsalted, with plant sterols esters",0.471
"vegetable fat (margarine type), spreadable, 50-63% fat, light, lightly salted, rich in omega 3",2.160
"vegetable fat (margarine type), spreadable, 50-63% fat, light, unsalted",3.258
"vegetable fat (margarine type), spreadable, 50-63% fat, light, unsalted, with plant sterols esters",1.097
vegetable flan,0.321
vegetable fritters,0.703
vegetable nuggets /-schnitzel,1.418
"vegetable rosti, pre-fried, frozen",0.823
"vegetable rosti, pre-fried, frozen, cooked",1.651
vegetable steaks,0.569
vegetable terrine or mousse,1.157
vegetables,0.914
"vegetables (3-4 types), mashed",0.500
vegetables au gratin (oven grilled),2.551
vegetables au gratin (oven grilled) in bechamel sauce,1.448
"vegetables pan-fried or stir-fried, asian-style, frozen, raw",1.495
"vegetables pan-fried with mushrooms (country-style), frozen",1.801
"vegetables pan-fried without mushrooms, frozen, raw",1.955
vegetables tart,0.895
vibrant peaches & raspberries,1.392
"viennese sausage, pork and veal, raw",0.163
vinaigrette,3.201
vinegar,0.797
"vinegar, balsamic",0.853
"vinegar, cider",1.921
vodka,0.707
vol-au-vent with fish and seafood,1.251
wafer biscuit without filling,2.307
"wafer biscuit, crunchy (thin or dry), plain or with sugar, prepacked",3.125
"wafer biscuit, crunchy (thin or dry), with chocolate, prepacked",4.295
"wafer biscuit, filled with chocolate, prepacked",3.507
"wafer biscuit, filled with nuts (hazelnut, almond, praline, etc.), with chocolate or not, prepacked",0.740
"wafer biscuit, plain or vanilla flavoured, prepacked",3.331
"wafer biscuit, with fruits",1.387
wafer cookie,8.053
"wafer cookie, with chocolate, prepacked",7.436
wafer sticks,2.221
"wakame (undaria pinnatifida), dried or dehydrated",4.262
walnut,1.615
"walnut, dried, husked",0.158
"walnut, fresh",1.791
walnuts,1.461
"walnuts, dried",3.383
"walnuts, in shell",1.855
"ware potato, boiled/cooked in water, peeled",0.340
"water, 1l pet bottle",0.931
"water, bottled",0.813
"water, bottled, carbonated",1.768
"water, mineral, carbonated ou non-carbonated, carola",1.828
"water, mineral, non-carbonated, eden",0.494
"water, mineral, non-carbonated, mont-blanc",1.951
watermelon,0.562
watermelon juice,0.594
"watermelon, pulp, raw",2.447
"watermelon, raw",1.282
wheat,0.960
wheat bran,0.973
"wheat bulgur, cooked, unsalted",0.605
"wheat bulgur, raw",1.451
"wheat flour, consumer package",0.844
"wheat flour, self-raising",0.962
"wheat flour, type 110",0.526
"wheat flour, type 150",1.223
"wheat flour, type 55 (for bread)",0.162
"wheat flour, type 55 (for pastry)",1.812
"wheat flour, type 65",0.116
"wheat flour, type 80",0.497
wheat swedish toast,1.106
"wheat swedish toast, wholemeal",0.823
"wheat tortilla wrap, to be filled",1.570
"wheat, flour, wholemeal",1.788
"wheat, kernels, whole/cracked",2.210
"wheat, whole, pre-cooked, raw",1.298
"wheat, whole, raw",0.736
"whey protein, 80% protein",3.934
"whipped cream or chantilly cream, under pressure, uht",3.297
whiskey-based cocktail,0.728
whisky,3.525
"white bean stew, canned",1.535
"white bean stew, with pork, canned",4.542
"white butter sauce, prepacked",3.732
white cabbage,0.255
"white cabbage, raw",2.196
white chocolate bar,1.778
"white chocolate bar, with dried fruits (nuts, almonds, raisins, praline)",0.101
white fish with florentine-style sauce (spinach sauce),4.787
white fish with mustard sauce,6.810
white fish with parisian-style sauce (mushrooms sauce),6.468
white fish with provencal-style sauce (tomato sauce),4.723
"white fish with shallots, mussels and white wine sauce",2.774
white fish with sorrel sauce,2.352
white fish with tarragon sauce,7.783
"white pepper, powder",1.237
"white pudding, truffled, raw",14.137
"white quinoa, organic",5.359
"white rice, cooked, with chicken",4.796
"white rice, cooked, with vegetables and meat",1.090
"white sesame seeds, toasted",3.735
"whitefish, raw",6.381
whiting,2.566
"whiting, breaded",3.207
"whiting, fried",3.988
"whiting, steamed",8.900
whole wheat flour,0.248
wholegrain crackers,1.523
"wild rice, cooked, unsalted",2.942
"wild rice, raw",0.801
wine red,1.384
wine white,0.483
"wine, red",1.570
"wine, red, 10Â¬âˆž",3.656
"wine, red, 11Â¬âˆž",0.484
"wine, red, 12Â¬âˆž",1.264
"wine, red, 13Â¬âˆž",1.875
"wine, rose, 11Â¬âˆž",1.560
"wine, rosâˆšÂ©",1.309
"wine, white, 11Â¬âˆž",1.654
"wine, white, average values",1.178
"wine, white, dry, 11Â¬âˆž",1.323
"wine, white, sparkling",1.012
"wine, white, sparkling, champagne",2.927
"wine, white, sparkling, flavoured",1.424
"wine, white, sweet",1.698
wine-based aperitif,0.670
"yakitori (grilled meat on skewers, japanese-style, with sauce)",3.735
yam,0.287
"yam or indian potato, peeled, boiled/cooked in water",1.760
"yam or indian potato, peeled, raw",1.271
yeast compressed,2.892
yeast dried,3.732
yeast liquid,2.308
"yeast, baker`s, compressed",2.714
"yellowfin tuna, canned in brine, drained",6.720
"yellowfin tuna, raw",1.935
"yoghurt (organic), natural, plastic cup, paper coated",2.696
"yoghurt substitute, soya, plastic cup, paper coated",0.357
"yoghurt, 3% fat",4.482
"yoghurt, fruit, plastic cup, paper coated",2.947
"yoghurt, natural, plastic cup, paper coated",0.754
yogurt,2.209
yogurt cake,2.771
yogurt flavoured,2.671
yogurt lactose free,2.989
"yogurt plain, whole milk",1.780
yogurt sauce,1.848
yogurt white,1.919
"yogurt, fermented milk or dairy specialty, plain, fat free",1.825
"yogurt, fermented milk or dairy specialty, with fruits, with sugar, fortified with vitamin d",1.968
"yogurt, fermented milk or dairy specialty, with fruits, with sweetener, fat free",1.174
"yogurt, goat's milk, plain, around 5% fat",1.695
"yogurt, greek-style, ewe's milk",2.609
"yogurt, greek-style, on a bed of fruits",2.744
"yogurt, greek-style, plain",1.720
"young goat, cooked",56.051
"young goat, raw",26.618
zucchini,1.850
zucchini (f),0.953
zucchini (g),2.219
just picked cocowater natural,0.888
gfp natural usa almond,3.595
coke zero,0.484
coke,0.665
wooshi dry good wasabi chiyoda 1kg,1.275
natural usa almond raw,2.738
acai berry,0.794
kanten,1.506
apple mac mini with lion server model mc936,103.559
apple 9.7-inch ipad pro,30.041
apple 11-inch macbook air,80.835
"apple 11-inch macbook air model md223, md224",74.011
"apple 11-inch macbook air model md711, md712",38.348
"apple 11-inch macbook air model mc505, mc506",71.063
"apple 12-inch macbook models mnyf2, mnyg2, mnyh2, mnyj2, mnyk2, mnyl2, mnym2, mnkn2",172.329
"apple 12-inch macbook models mnyf2, mnyg2, mnyh2, mnyj2, mrqn2, mrqp2",172.803
"apple 12-inch macbook models mf855, mjy32, mk4m2, mf865, mjy42, mk4n2",267.078
"apple 13-inch macbook air models mqd32, mqd42",31.899
apple 13-inch macbook air,119.986
apple 13-inch macbook air with retina display,110.405
apple 13-inch macbook air with retina display (128gb),21.227
apple 13-inch macbook pro,134.137
"apple 13-inch macbook pro models mpxq2, mpxr2, mpxt2, mpxu2, mv962, mv972, mv992, mv9a2",14.195
"apple 13-inch macbook pro models mpxq2, mpxr2, mpxt2, mpxu2, mr9q2, mr9u2, mr9r2, mr9v2",33.088
"apple 13-inch macbook pro with thunderbolt 3 models mpxq2, mpxr2, mpxt2, mpxu2, mpxv2, mpxw2, mpxx2, mpxy2",135.671
"apple 13-inch macbook air model md231, md232",222.211
"apple 13-inch macbook air models mjev2, mjvg2",38.075
"apple 13-inch macbook air model md760, md761",12.459
"apple 13-inch macbook air model mc503, mc504",29.843
"apple 13-inch macbook pro with retina display models me662, me663, me697",341.096
apple 13-inch macbook pro with retina display,52.961
"apple 13-inch macbook pro with retina display model numbers mgx72, mgx82, mgx92",387.585
"apple 13-inch macbook pro models md101, md102",273.839
"apple 13-inch macbook pro with retina display models mf839, mf840, mf841",268.931
apple 13-inch macbook pro with retina display model mf839,117.320
"apple 13-inch macbook pro with thunderbolt 3 models mlvp2, mlh12, mnqg2, mnqf2, mluq2, mll42",229.313
"apple 15-inch macbook pro models mv902, mv912, mv922, mv932",72.139
"apple 15-inch macbook pro models mr932, mr942, mr962, mr972",66.734
"apple 15-inch macbook pro with thunderbolt 3 models mptr2, mptt2, mptu2, mptv2",52.307
"apple 15-inch macbook pro model md103, md104",38.837
"apple 15-inch macbook pro with retina display models me664, me665, me698",336.117
"apple 15-inch macbook pro with retina display models mjlq2, mjlt2",420.534
apple 15-inch macbook pro with retina display model mjlq2,164.164
"apple 15-inch macbook pro with thunderbolt 3 models mlh32, mlh42, mlw72, mlw82",51.411
apple 21.5-inch imac,143.603
"apple 21.5-inch imac and 21.5-inch imac with retina 4k display models mk142, mk442, mk452",80.857
apple 21.5-inch imac model mmqa2,77.343
apple 21.5-inch imac with retina 4k display,226.576
"apple 21.5-inch imac model mc508, mc509",194.453
apple 24-inch imac,27.084
apple 27-inch imac with retina 5k display,114.484
"apple 27-inch imac model mc510, mc511",88.855
apple 27-inch imac,384.127
"apple 27-inch imac with retina 5k display models mk462, mk472, mk482",133.310
apple 27-inch led cinema display model mc007 (27-inch),506.899
apple apple tv 4k with siri remote,11.938
"apple apple tv 4k models mqd22, mp7p2",24.590
apple apple tv hd model mr912,9.320
apple apple tv (4th generation) model mr912,16.847
apple apple watch se,9.097
apple apple watch series 1,3.972
apple apple watch series 2,10.676
apple apple watch series 3 (gps),11.583
apple apple watch series 3 (gps + cellular),8.509
apple apple watch series 4 (gps),15.553
apple apple watch series 4 (gps + cellular),27.045
apple apple watch series 5,0.930
apple apple watch series 6,27.553
apple apple watch series 7,22.688
apple apple tv models md199,4.638
apple apple tv model mc572ll/a,6.803
apple apple watch,10.744
"apple 21.5-inch imac model mc309, mc812",22.721
"apple 27-inch imac model numbers md095, md096",53.070
"apple 27-inch imac model mc813, mc814",290.314
apple imac pro model mq2y2,270.780
"apple ipad 2 models 
 

 wi-fi: mc769, mc770, mc916, mc979, mc980, mc981 
 

 wi-fi + 3g (gsm): mc773, mc774, mc775, mc982, mc983, mc984 
 

 wi-fi + 3g for verizon: mc755, mc763, mc764, mc985, mc986, mc987",60.339
apple ipad,55.892
apple ipad (7th generation),20.745
apple ipad (8th generation),27.069
apple ipad (9th generation),47.726
"apple ipad models 
 

 wi-fi: mc705, mc706, mc707, md328, md329, md330 
 

 wi-fi + cellular: mc733, mc744, mc756, md363, md364, md365, md366, md367, md368, md369, md370, md371",87.260
"apple ipad model numbers 
 

 wi-fi: md510, md511, md512, md513, md514, md515 
 

 wi-fi + cellular: md516, md517, md518, md519, md520, md521, md522, md523, md524, md525, md526, md527, me196, me197, me198, me199, me200",83.249
apple ipad 2,47.919
apple ipad air,2.553
apple ipad air (4th generation),26.697
apple ipad air 2,111.798
apple ipad mini,7.214
apple ipad mini with retina display,49.685
apple ipad mini 3,8.687
apple ipad mini 4,72.054
apple ipad pro (10.5-inch),15.920
apple ipad pro (11-inch),35.079
apple ipad pro (12.9-inch),48.085
Mobile Phone,22.583
apple iphone 4,19.462
apple iphone 7,0.750
apple iphone 7 plus,45.304
apple iphone 8,35.873
apple iphone 8 plus,51.218
apple iphone 11,51.223
apple iphone 11 pro max,32.902
apple iphone 11 pro,51.256
apple iphone 12 mini,21.664
apple iphone 12,49.135
apple iphone 12 pro max,35.516
apple iphone 12 pro,25.869
apple iphone 13 mini,44.932
apple iphone 13,25.517
apple iphone 13 pro,54.905
apple iphone se,14.755
apple iphone x,51.290
apple iphone xr,32.275
apple iphone xs max,59.125
apple iphone xs,7.767
apple iphone 3g,21.456
apple iphone 4s,11.365
apple iphone 5,57.114
apple iphone 5c,30.289
apple iphone 5s,35.835
apple iphone 6,79.894
apple iphone 6s,25.930
apple iphone 6s plus,9.050
apple ipod classic,13.187
apple ipod nano,7.551
apple ipod touch,6.021
apple ipod shuffle,5.016
"apple ipod nano model numbers 
 

 mc525, mc526, mc688, mc689, mc690, mc691, mc692, mc693, mc694, mc695, mc696, mc697, mc698, mc699",7.657
"apple ipod nano model numbers 
 

 md475, md476, md477, md478, md479, m!d480, md481, md744",4.814
"apple ipod shuffle model numbers mc584, mc585, mc749, mc750, mc751",2.646
apple ipod touch (5th generation) 16gb,37.732
apple ipod touch (6th generation),33.784
apple ipod touch (5th generation),4.232
apple ipod touch (7th generation),14.949
apple led cinema display,204.608
apple mac pro,498.850
apple 12-inch macbook,239.042
apple 15-inch macbook pro,17.556
apple 17-inch macbook pro,248.639
apple macbook,152.527
apple macbook pro with retina display,458.361
apple mac mini,127.190
apple mac mini models mc815 and mc816,119.888
apple thunderbolt display,9.359
apple mac mini (256gb),127.926
apple mac mini with os x server,113.527
apple mac mini model mc270,13.020
apple pro display xdr,217.349
apple 12.9-inch ipad pro,209.259
apple 14-inch macbook pro,163.783
apple 16-inch macbook pro,129.690
apple ipad mini (6th generation),9.842
apple iphone 13 pro max,4.379
dell aw2518h monitor,98.513
dell aw2518hf monitor,116.683
dell aw3418dw monitor,142.518
dell aw3418hw monitor,200.051
dell c2422he monitor (without stand) ),207.707
dell c5519q monitor,1062.013
dell c5522qt monitor,670.589
dell c7520qt monitor,318.886
dell c8618qt monitor,1113.091
dell chromebook 3100,37.412
dell chromebook 3100 2-in-1,202.004
dell e1715s monitor,80.216
dell e1916h monitor,8.007
dell e1916he monitor,78.400
dell e1916hv monitor,118.587
dell e2016h monitor,63.286
dell e2016hv monitor,183.346
dell e2216h monitor,26.371
dell e2216hv monitor,13.862
dell e2218hn monitor,239.693
dell e2219hn monitor,7.727
dell e2221hn monitor,118.395
dell e2316h monitor,295.597
dell e2318h monitor,41.252
dell e2318hn monitor,216.426
dell e2417h monitor,151.454
dell e2418hn monitor,52.425
dell e2420h monitor,79.370
dell e2422hn monitor,218.537
dell e2422hs monitor,46.718
dell e2720h monitor,305.690
dell e2720hs monitor,3.239
dell latitude 3150,95.188
dell latitude 3190,115.180
dell latitude 7220 rugged extreme,16.490
dell latitude 7280,159.893
dell latitude 7285,214.604
dell latitude 7410 chromebook enterprise,219.137
dell latitude e5270,42.582
dell latitude e5470,98.509
dell latitude e5570,51.463
dell latitude e7250,95.998
dell latitude e7270,193.354
dell latitude e7450,126.666
dell latitude e7470,77.496
dell optiplex xe2 mini tower,243.931
dell p1914s monitor,197.943
dell p2017h monitor,91.286
dell p2018h monitor,20.015
dell p2217 monitor,258.323
dell p2217h monitor,152.703
dell p2217wh monitor,295.685
dell p2219h monitor (without stand),9.454
dell p2219h monitor,198.182
dell p2222h monitor (without stand),244.630
dell p2317h monitor,234.564
dell p2415q monitor,294.043
dell p2417h monitor,152.084
dell p2418hz monitor,118.754
dell p2419h monitor (without stand),294.817
dell p2419h monitor,320.490
dell p2419hc monitor,260.457
dell p2422he monitor (without stand),54.147
dell p2719h monitor,159.417
dell p2719hc monitor,403.076
dell p2720d monitor,298.298
dell p2720dc monitor,321.881
dell p2721q monitor,172.490
dell p2722he monitor,106.828
dell p3221d monitor,81.923
dell p3222qe monitor,15.578
dell p3418hw monitor,136.350
dell precision 5750,396.773
dell precision 7520,134.341
dell precision 7720,31.236
dell precision 7750,80.979
dell precision 7760,114.454
dell precision tower 3420,2.038
dell precision tower 3430,26.075
dell precision tower 5820,137.339
dell s2216h monitor,222.552
dell s2218h monitor,30.669
dell s2218m monitor,175.888
dell s2316h monitor,158.219
dell s2318h monitor,75.005
dell s2318hn monitor,8.729
dell s2318m monitor,243.769
dell s2417dg monitor,393.642
dell s2418h monitor,288.855
dell s2716dg monitor,417.133
dell s2718d monitor,143.031
dell s2718h monitor,205.454
dell se2216h monitor,231.212
dell se2416h monitor,72.778
dell se2417hg monitor,16.777
dell u2412m monitor,314.993
dell u2412mwh monitor,265.473
dell u2414h monitor,277.688
dell u2415 monitor,82.715
dell u2417h monitor,29.162
dell u2417ha monitor,273.689
dell u2417hwh monitor,126.363
dell u2419h monitor (without stand),71.651
dell u2419h monitor,140.138
dell u2419hc monitor,9.563
dell u2419hx monitor,132.070
dell u2421he monitor,202.456
dell u2422h monitor (without stand),215.617
dell u2518d monitor,280.757
dell u2717d monitor,295.412
dell u2717dwh monitor,101.610
dell u2718q monitor,343.397
dell u2719d monitor,10.095
dell u2719dc monitor,282.844
dell u2719dx monitor,143.568
dell u2721de monitor,274.387
dell u2722de monitor,265.475
dell u2917w monitor,134.680
dell u3219q monitor,502.366
dell u3415w monitor,21.879
dell u3417w monitor,394.478
dell u3818dw monitor,265.612
dell up2516d monitor,26.475
dell up2716d monitor,11.208
dell up3017 monitor,47.130
dell up3216q monitor,373.072
dell up3218k monitor,74.372
dell vostro 153510,124.391
dell vostro 153515,108.720
dell wyse 3030 thin client,32.538
dell wyse 3040 thin client,42.327
dell wyse 5010 thin client,42.915
dell wyse 5020 thin client,27.852
dell wyse 5030 pcoip zero client,25.049
dell wyse 5040 all-in-one thin client,50.870
dell wyse 5050 all-in-one thin client,12.076
dell wyse 5060 thin client,41.725
dell wyse 5070 extended thin client,62.224
dell wyse 5070 thin client,6.382
dell wyse 7010 thin client,28.727
dell wyse 7020 thin client,12.306
dell wyse 7030 pcoip zero client,53.622
dell wyse 7040 thin client,31.557
dell xps 13 7390 2-in-1,212.466
dell xps 13 9310 2-in-1,148.822
dell xps 13 9365 2-in-1,52.982
dell xps 15 9500,90.623
dell xps 15 9560,52.888
dell xps 15 9570,180.981
dell poweredge c4130,477.138
dell poweredge c4140,844.139
dell poweredge c6420,169.497
dell poweredge fc430,203.692
dell poweredge fc630,189.588
dell poweredge fc640,428.528
dell poweredge fc830,356.925
dell poweredge m630,716.612
dell poweredge m640,523.500
dell poweredge m830,200.031
dell poweredge r230,197.731
dell poweredge r240,786.278
dell poweredge r330,550.135
dell poweredge r340,172.836
dell poweredge r430,245.126
dell poweredge r440,747.054
dell poweredge r540,340.929
dell poweredge r630,307.936
dell poweredge r640,361.460
dell poweredge r6415,114.236
dell poweredge r6515,117.594
dell poweredge r6525,440.290
dell poweredge r730,539.187
dell poweredge r730xd,1038.391
dell poweredge r740,474.906
dell poweredge r7415,216.084
dell poweredge r7425,249.925
dell poweredge r7515,528.929
dell poweredge r830,817.735
dell poweredge r840,815.501
dell poweredge r930,1873.086
dell poweredge r940,1532.677
dell poweredge r940xa,1508.155
dell poweredge t130,60.177
dell poweredge t140,112.194
dell poweredge t330,19.747
dell poweredge t340,231.634
dell poweredge t430,353.269
dell poweredge t440,959.965
dell poweredge t630,427.704
dell poweredge t640,589.043
dell powerstore1000t,1095.942
dell powerstore3000t,718.050
dell powerstore5000t,2180.348
dell powerstore500t most common,317.654
dell powerstore500t typical,260.723
dell powerstore7000t,516.214
dell powerstore9000t,749.250
dell precision 3930 rack,70.158
dell c1422h monitor,87.999
dell c2422he monitor,274.352
dell c2722de monitor,29.593
dell c3422we monitor,178.961
dell c6522qt monitor,148.709
dell e1920h monitor,44.710
dell e2020h monitor,244.339
dell e2220h monitor,188.411
dell e2222hs monitor,30.107
dell e2421hn monitor,261.235
dell s2421hn monitor,187.806
dell e2422h monitor,236.072
dell p2422h monitor,91.626
dell p2422h monitor (without stand),260.358
dell e2722h monitor,14.748
dell p2722h monitor,42.795
dell e2722hs monitor,173.990
dell latitude 3120,35.794
dell latitude 3120 2-in-1,3.244
dell latitude 3190 2-in-1,149.782
dell latitude 3160,80.514
dell latitude 3180,70.561
dell latitude 3189,96.499
dell latitude 3400,64.954
dell latitude 3410,134.067
dell latitude 3420,166.191
dell latitude 3460,47.248
dell latitude 3470,221.403
dell latitude 3480,135.880
dell latitude 3490,6.965
dell latitude 3300,222.513
dell latitude 3320,90.943
dell latitude 3350,100.807
dell latitude 3380,103.397
dell latitude 3390 2-in-1,60.715
dell latitude 3500,62.687
dell latitude 3510,135.463
dell latitude 3520,132.882
dell latitude 3550,112.383
dell latitude 3560,102.024
dell latitude 3570,140.182
dell latitude 3580,8.564
dell latitude 3590,72.706
dell latitude 5250,29.153
dell latitude 5280,106.312
dell latitude 5290,131.988
dell latitude 5400,122.849
dell latitude 5401,111.436
dell latitude 5410,154.646
dell latitude 5411,145.991
dell latitude 5420,283.652
dell latitude 5450,129.106
dell latitude 5480,50.639
dell latitude 5490,90.137
dell latitude 5491,151.898
dell latitude 5495,193.713
dell latitude 5285 2-in-1,127.277
dell latitude 5289 2-in-1,199.049
dell latitude 5290 2-in-1,44.549
dell latitude 5300 2-in-1,89.978
dell latitude 5310 2-in-1,153.794
dell latitude 53202-in-1,128.084
dell latitude 5300,44.573
dell latitude 5310,159.686
dell latitude 5320,270.290
dell latitude 5421,184.366
dell latitude 5501,283.174
dell latitude 5510,196.686
dell latitude 5511,223.005
dell latitude 5520,43.570
dell latitude 5521,288.530
dell latitude 5550,194.404
dell latitude 5580,103.790
dell latitude 5590,134.560
dell latitude 5591,64.490
dell latitude 7200 2-in-1,89.378
dell latitude 7210 2-in-1,126.728
dell latitude 7400 2-in-1,15.618
dell latitude 7410 2-in-1,152.702
dell latitude 7410 2-in-1 chromebook enterprise,236.419
dell latitude 7420 2-in-1,248.501
dell latitude 9410 2-in-1,104.738
dell latitude 9420 2-in-1,89.243
dell latitude 9510 2-in-1,120.054
dell latitude 7290,86.692
dell latitude 7400,183.790
dell latitude 7410,217.504
dell latitude 7420,28.545
dell latitude 7480,7.274
dell latitude 7490,136.135
dell latitude 7300,52.297
dell latitude 7310,211.912
dell latitude 7320,164.503
dell latitude 7350,82.185
dell latitude 7370,95.676
dell latitude 7380,71.434
dell latitude 7390,173.429
dell latitude 7310 2-in-1,50.669
dell latitude 7320 2-in-1,235.089
dell latitude 7389 2-in-1,224.382
dell latitude 7390 2-in-1,69.609
dell latitude 7320 detachable,7.226
dell latitude 7520,259.730
dell latitude 9420,37.524
dell latitude 9510,152.809
dell latitude 9520,192.524
dell latitude 9520 2-in-1,170.895
dell opti plex 3090 micro form factor,73.493
dell opti plex 3090 small form factor,186.073
dell opti plex 3090 tower,138.211
dell opti plex 5090 micro form factor,36.846
dell optiplex 5090 small form factor,75.748
dell opti plex 7090 micro form factor,61.790
dell opti plex 7090 small form factor,79.257
dell optiplex 3050 micro form factor,105.305
dell optiplex 3050 small form factor,34.437
dell optiplex 3060 micro form factor,14.547
dell optiplex 3060 small form factor,125.535
dell optiplex 3070 micro form factor,47.061
dell optiplex 3070 small form factor,54.295
dell optiplex xe2 small form factor,111.663
